time_iso8601,stargazers_cumulative_snapshot
2023-10-01 00:23:17+00:00,128
2023-10-02 00:20:29+00:00,130
2023-10-04 00:20:17+00:00,133
2023-10-05 00:19:51+00:00,142
2023-10-06 00:19:58+00:00,145
2023-10-07 01:47:14+00:00,149
2023-10-08 01:48:18+00:00,151
2023-10-09 01:47:33+00:00,152
2023-10-10 01:47:17+00:00,156
2023-10-11 01:47:23+00:00,162
2023-10-12 01:47:22+00:00,164
2023-10-13 01:48:36+00:00,167
2023-10-14 01:46:42+00:00,169
2023-10-15 01:48:38+00:00,171
2023-10-16 01:48:02+00:00,173
2023-10-17 01:47:51+00:00,175
2023-10-17 08:21:00+00:00,177
2023-10-18 01:47:54+00:00,178
2023-10-18 12:54:03+00:00,181
2023-10-20 01:47:23+00:00,183
2023-10-21 01:46:35+00:00,186
2023-10-22 01:48:43+00:00,189
2023-10-23 01:47:54+00:00,190
2023-10-24 01:47:33+00:00,191
2023-10-25 01:47:35+00:00,196
2023-10-26 01:47:06+00:00,200
2023-10-27 01:47:00+00:00,210
2023-10-28 01:46:32+00:00,219
