time_iso8601,stars_cumulative
2023-08-02 00:00:00+00:00,13
2023-08-03 00:00:00+00:00,16
2023-08-04 00:00:00+00:00,18
2023-08-05 00:00:00+00:00,19
2023-08-08 00:00:00+00:00,20
2023-08-09 00:00:00+00:00,23
2023-08-11 00:00:00+00:00,27
2023-08-12 00:00:00+00:00,28
2023-08-15 00:00:00+00:00,30
2023-08-16 00:00:00+00:00,32
2023-08-17 00:00:00+00:00,34
2023-08-18 00:00:00+00:00,35
2023-08-19 00:00:00+00:00,36
2023-08-20 00:00:00+00:00,40
2023-08-21 00:00:00+00:00,43
2023-08-22 00:00:00+00:00,45
2023-08-23 00:00:00+00:00,47
2023-08-24 00:00:00+00:00,49
2023-08-25 00:00:00+00:00,50
