time_iso8601,stars_cumulative
2023-08-02 00:00:00+00:00,13
2023-08-03 00:00:00+00:00,16
2023-08-04 00:00:00+00:00,18
2023-08-05 00:00:00+00:00,19
2023-08-08 00:00:00+00:00,20
2023-08-09 00:00:00+00:00,22
2023-08-11 00:00:00+00:00,26
2023-08-12 00:00:00+00:00,27
2023-08-15 00:00:00+00:00,29
2023-08-16 00:00:00+00:00,31
2023-08-17 00:00:00+00:00,33
2023-08-18 00:00:00+00:00,34
2023-08-19 00:00:00+00:00,35
2023-08-20 00:00:00+00:00,39
2023-08-21 00:00:00+00:00,42
2023-08-22 00:00:00+00:00,44
2023-08-23 00:00:00+00:00,46
2023-08-24 00:00:00+00:00,48
2023-08-25 00:00:00+00:00,49
2023-08-26 00:00:00+00:00,51
2023-08-27 00:00:00+00:00,52
