time_iso8601,stars_cumulative
2023-08-02 00:00:00+00:00,10
2023-08-03 00:00:00+00:00,11
2023-08-04 00:00:00+00:00,13
2023-08-05 00:00:00+00:00,14
2023-08-08 00:00:00+00:00,15
2023-08-09 00:00:00+00:00,16
2023-08-11 00:00:00+00:00,18
2023-08-12 00:00:00+00:00,19
2023-08-15 00:00:00+00:00,21
2023-08-16 00:00:00+00:00,23
2023-08-17 00:00:00+00:00,25
2023-08-18 00:00:00+00:00,26
2023-08-20 00:00:00+00:00,29
2023-08-21 00:00:00+00:00,32
2023-08-22 00:00:00+00:00,33
2023-08-23 00:00:00+00:00,35
2023-08-24 00:00:00+00:00,37
2023-08-25 00:00:00+00:00,38
2023-08-26 00:00:00+00:00,39
2023-08-27 00:00:00+00:00,40
2023-08-28 00:00:00+00:00,42
2023-08-30 00:00:00+00:00,44
2023-09-02 00:00:00+00:00,46
2023-09-04 00:00:00+00:00,47
2023-09-05 00:00:00+00:00,49
2023-09-06 00:00:00+00:00,52
2023-09-08 00:00:00+00:00,53
2023-09-09 00:00:00+00:00,54
2023-09-12 00:00:00+00:00,56
2023-09-13 00:00:00+00:00,57
2023-09-14 00:00:00+00:00,58
2023-09-15 00:00:00+00:00,60
2023-09-16 00:00:00+00:00,61
2023-09-17 00:00:00+00:00,62
2023-09-18 00:00:00+00:00,64
2023-09-19 00:00:00+00:00,73
2023-09-20 00:00:00+00:00,81
2023-09-21 00:00:00+00:00,89
2023-09-22 00:00:00+00:00,90
2023-09-23 00:00:00+00:00,91
2023-09-24 00:00:00+00:00,94
2023-09-26 00:00:00+00:00,95
2023-09-27 00:00:00+00:00,98
2023-09-28 00:00:00+00:00,103
2023-09-29 00:00:00+00:00,112
2023-09-30 00:00:00+00:00,115
2023-10-01 00:00:00+00:00,117
2023-10-03 00:00:00+00:00,120
2023-10-04 00:00:00+00:00,129
2023-10-05 00:00:00+00:00,132
2023-10-06 00:00:00+00:00,136
2023-10-07 00:00:00+00:00,139
2023-10-08 00:00:00+00:00,140
2023-10-09 00:00:00+00:00,144
2023-10-10 00:00:00+00:00,151
2023-10-11 00:00:00+00:00,153
2023-10-12 00:00:00+00:00,156
2023-10-13 00:00:00+00:00,158
2023-10-14 00:00:00+00:00,160
2023-10-15 00:00:00+00:00,162
2023-10-16 00:00:00+00:00,164
2023-10-17 00:00:00+00:00,167
2023-10-18 00:00:00+00:00,170
2023-10-19 00:00:00+00:00,172
2023-10-20 00:00:00+00:00,175
2023-10-21 00:00:00+00:00,179
2023-10-22 00:00:00+00:00,180
2023-10-23 00:00:00+00:00,181
2023-10-24 00:00:00+00:00,186
2023-10-25 00:00:00+00:00,190
2023-10-26 00:00:00+00:00,200
2023-10-27 00:00:00+00:00,209
2023-10-28 00:00:00+00:00,212
2023-10-29 00:00:00+00:00,232
2023-10-30 00:00:00+00:00,245
2023-10-31 00:00:00+00:00,247
2023-11-01 00:00:00+00:00,250
2023-11-02 00:00:00+00:00,262
2023-11-03 00:00:00+00:00,269
2023-11-04 00:00:00+00:00,273
2023-11-05 00:00:00+00:00,274
2023-11-06 00:00:00+00:00,295
2023-11-07 00:00:00+00:00,302
2023-11-08 00:00:00+00:00,309
2023-11-09 00:00:00+00:00,313
2023-11-10 00:00:00+00:00,318
2023-11-11 00:00:00+00:00,329
2023-11-12 00:00:00+00:00,332
2023-11-13 00:00:00+00:00,335
2023-11-14 00:00:00+00:00,342
2023-11-15 00:00:00+00:00,345
2023-11-16 00:00:00+00:00,348
2023-11-18 00:00:00+00:00,349
2023-11-19 00:00:00+00:00,352
2023-11-20 00:00:00+00:00,365
2023-11-21 00:00:00+00:00,369
2023-11-22 00:00:00+00:00,371
2023-11-23 00:00:00+00:00,375
2023-11-24 00:00:00+00:00,377
2023-11-25 00:00:00+00:00,381
2023-11-26 00:00:00+00:00,383
2023-11-27 00:00:00+00:00,387
2023-11-28 00:00:00+00:00,389
2023-11-29 00:00:00+00:00,391
2023-11-30 00:00:00+00:00,394
2023-12-01 00:00:00+00:00,401
2023-12-02 00:00:00+00:00,402
2023-12-03 00:00:00+00:00,406
2023-12-04 00:00:00+00:00,415
2023-12-05 00:00:00+00:00,670
2023-12-06 00:00:00+00:00,810
2023-12-07 00:00:00+00:00,1024
2023-12-08 00:00:00+00:00,1052
